"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-05-31T18:57:29.131+01:00","0.0","0.02"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-05-31T18:57:29.068+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-05-31T18:57:29.206+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-05-31T18:57:28.985+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-05-31T18:57:29.304+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-05-31T18:57:29.090+01:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-05-31T18:57:29.229+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-05-31T18:57:29.175+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-05-31T18:57:29.153+01:00","0.0","0.02"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-05-31T18:57:28.941+01:00","0.0","0.04"
